Time (s),Sigma_x / E (-),Sigma_y / E (-),Sigma_z / E (-),Tau_xyz (MPa),Sigma_eq (MPa),Lambda (-)
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0.6244262739832068,0.626147452033587,0.6244262739832068,0.0,344.23561007603456,0.4985083123563373
0.05,0.9715866422296044,0.9734933822074577,0.9715866422296044,0.0,381.3479955706482,0.7761252697969717
0.07500000000000001,1.2146077236699608,1.2166178859934123,1.2146077236699608,0.0,402.0324646902465,0.9704800815418978
0.1,1.4020843613708782,1.4041646105915784,1.4020843613708782,0.0,416.0498441400146,1.1204193395642819
0.1,1.4020843613708782,1.4041646105915784,1.4020843613708782,0.0,416.0498441400146,1.1204193395642819
0.125,1.4027633760652887,1.402806827697501,1.4027631295705454,244.40282795817956,423.4078170864241,1.2054387289240194
0.15000000000000002,1.402781330270663,1.4027745343472906,1.4027774687153818,248.5623969065934,430.52431940814114,1.2919946674538065
0.17500000000000002,1.4027818303704132,1.4027737318068394,1.4027777711560825,252.47636659846032,437.3041443642913,1.3785465856240569
0.2,1.402781963309763,1.4027735923897189,1.4027777776338533,256.21663551457436,443.78259892913366,1.4650993485863342
0.2,1.402781963309763,1.4027735923897189,1.4027777776338533,256.21663551457436,443.78259892913366,1.4650993485863342
0.225,1.2159174675261841,1.2139960511884176,1.2159198146187327,-141.64583766631299,456.1193590920263,1.6407292118930539
0.25,0.9728818284627035,0.9709041301962953,0.9728807080076696,-147.74168710103206,471.00514750710306,1.8724836214378504
0.275,0.6256863232354353,0.623628501369981,0.6256851753945859,-153.72958697476858,490.0909727321975,2.203548176866969
0.3,0.0007276565164008257,-0.0014543635367612686,0.0007267070203653717,-163.00854883968267,519.6931640560962,2.7993647786129143
