Time (s),Sigma_x / E (-),Sigma_y / E (-),Sigma_z / E (-),Tau_xyz (MPa),Sigma_eq (MPa),Lambda (-)
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001001001001001001,0.0030119130203428565,0.0039662238297230815,0.0030119130203428565,0.0,190.86216187604495,0.0018369439306461506
0.0002002002002002002,0.006324696175636113,0.007290945681461905,0.006324696175636113,0.0,193.24990116515852,0.004480007237013414
0.00030030030030030034,0.009624487211420217,0.010602205324223757,0.009624487211420217,0.0,195.54362256070777,0.007112958901454049
0.0004004004004004004,0.012911377132246193,0.01390013227436455,0.012911377132246193,0.0,197.75102842367124,0.00973584862052594
0.0005005005005005005,0.016185457296930657,0.017184851663835203,0.016185457296930657,0.0,199.87887338090943,0.012348729217401797
0.0006006006006006007,0.019446819183781324,0.02045648476733603,0.019446819183781324,0.0,201.93311671094128,0.014951655996892245
0.0007007007007007008,0.022695554205073003,0.02371514942984615,0.022695554205073003,0.0,203.91904495462896,0.017544686229194525
0.0008008008008008008,0.025931753559505895,0.02696096041709037,0.025931753559505895,0.0,205.8413715168943,0.020127878733054036
0.0009009009009009009,0.029155508114272227,0.030194029705717187,0.029155508114272227,0.0,207.70431828899189,0.022701293536550808
0.001001001001001001,0.03236690831042948,0.03341446672581612,0.03236690831042948,0.0,209.51168307732868,0.0252649915991116
0.0011011011011011012,0.03556604408678321,0.036622378565392494,0.03556604408678321,0.0,211.26689572185705,0.027819034582261013
0.0012012012012012014,0.03875300481858909,0.039817870144203876,0.03875300481858909,0.0,212.97306512295629,0.030363484659502428
0.0013013013013013013,0.04192787926820735,0.043001044362714846,0.04192787926820735,0.0,214.63301890149782,0.032898404357861406
0.0014014014014014015,0.04509075554546237,0.046172002230686696,0.04509075554546237,0.0,216.24933704486466,0.03542385642523532
0.0015015015015015015,0.04824172107593103,0.049330842978976566,0.04824172107593103,0.0,217.82438060910795,0.03793990371891751
0.0016016016016016017,0.05138086257574479,0.052477664157397366,0.05138086257574479,0.0,219.3603163305149,0.0404466091116043
0.0017017017017017019,0.05450826603176996,0.05561256172092984,0.05450826603176996,0.0,220.85913783197594,0.04294403541192005
0.0018018018018018018,0.05762401668624876,0.05873563010614161,0.05762401668624876,0.0,222.32268397857095,0.04543224529706333
0.001901901901901902,0.06072819902515582,0.061846962299324036,0.06072819902515582,0.0,223.75265483364294,0.04791130125562375
0.002002002002002002,0.06382089676965959,0.0649466498975851,0.06382089676965959,0.0,225.15062558510206,0.050381265538972375
0.002102102102102102,0.06690219287018824,0.06803478316392046,0.06690219287018824,0.0,226.51805874644467,0.05284220011991128
0.0022022022022022024,0.06997216950268478,0.0711114510771088,0.06997216950268478,0.0,227.85631488480377,0.05529416665749346
0.0023023023023023025,0.07303090806670766,0.07417674137713771,0.07303090806670766,0.0,229.16666208601185,0.057737226467108126
0.0024024024024024027,0.07607848918508932,0.07723074060675147,0.07607848918508932,0.0,230.4502843324318,0.06017144049507419
0.0025025025025025025,0.07911499270491262,0.08027353414961856,0.07911499270491262,0.0,231.70828894118688,0.06259686929710659
0.0026026026026026027,0.0821404976996025,0.08330520626554021,0.0821404976996025,0.0,232.9417131875438,0.0650135730201194
0.002702702702702703,0.08515508247196153,0.08632584012305676,0.08515508247196153,0.0,234.15153021904368,0.06742161138691216
0.002802802802802803,0.08815882455800579,0.08933551782975781,0.08815882455800579,0.0,235.33865435040283,0.06982104368335347
0.0029029029029029032,0.09115180073147645,0.0923343204605564,0.09115180073147645,0.0,236.50394581598664,0.07221192874773326
0.003003003003003003,0.0941340870089237,0.09532232808415242,0.0941340870089237,0.0,237.648215045742,0.07459432496200179
0.003103103103103103,0.09710575865527211,0.09829961978787854,0.09710575865527211,0.0,238.77222652128597,0.07696829024465389
0.0032032032032032033,0.10006689018979124,0.10126627370109643,0.10006689018979124,0.0,239.8767022610397,0.07933388204504994
0.0033033033033033035,0.10301755539240509,0.10422236701728908,0.10301755539240509,0.0,240.962324976799,0.08169115733899375
0.0034034034034034037,0.10595782731028362,0.10716797601497627,0.10595782731028362,0.0,242.02974093852993,0.08404017262541141
0.0035035035035035035,0.10888777826466743,0.11010317607756456,0.10888777826466743,0.0,243.07956257942578,0.08638098392399579
0.0036036036036036037,0.11180747985788263,0.11302804171222866,0.11180747985788263,0.0,244.11237086920548,0.0887136467736986
0.003703703703703704,0.11471700298050959,0.11594264656791063,0.11471700298050959,0.0,245.1287174802093,0.09103821623196715
0.003803803803803804,0.11761641781867363,0.11884706345251242,0.11761641781867363,0.0,246.12912676775738,0.09335474687463576
0.0039039039039039042,0.12050579386143004,0.12174136434934887,0.12050579386143004,0.0,247.11409758376692,0.09566329279639282
0.004004004004004004,0.12338519990821886,0.12462562043292046,0.12338519990821886,0.0,248.08410494031904,0.09796390761175423
0.004104104104104105,0.1262547040763695,0.12749990208405917,0.1262547040763695,0.0,249.03960153793713,0.10025664445648186
0.004204204204204204,0.12911437380863572,0.1303642789044944,0.12911437380863572,0.0,249.98101917173386,0.10254155598939342
0.004304304304304304,0.13196427588074647,0.13321881973088145,0.13196427588074647,0.0,250.9087700269966,0.10481869439451623
0.004404404404404405,0.13480447640895785,0.1360635926483309,0.13480447640895785,0.0,251.82324787461087,0.10708811138354248
0.0045045045045045045,0.13763504085759423,0.13889866500347187,0.13763504085759423,0.0,252.72482917552944,0.10934985819854882
0.004604604604604605,0.14045603404656876,0.1417241034170815,0.14045603404656876,0.0,253.61387410254667,0.1116039856149474
0.004704704704704705,0.1432675201588734,0.14453997379630734,0.1432675201588734,0.0,254.49072748679353,0.11385054394463835
0.0048048048048048055,0.14606956274803107,0.1473463413465085,0.14606956274803107,0.0,255.35571969548798,0.11608958303933838
0.004904904904904905,0.14886222474550267,0.1501432705827377,0.14886222474550267,0.0,256.20916744699855,0.11832115229406115
0.005005005005005005,0.15164556846804375,0.15293082534088615,0.15164556846804375,0.0,257.05137456848144,0.12054530065072958
0.005105105105105106,0.15441965562500476,0.1557090687885098,0.15441965562500476,0.0,257.8826327010078,0.12276207660190079
0.005205205205205205,0.15718454732557108,0.1584780634353531,0.15718454732557108,0.0,258.7032219564018,0.12497152819458766
0.005305305305305306,0.15994030408593926,0.1612378711435887,0.15994030408593926,0.0,259.5134115298881,0.12717370303416176
0.005405405405405406,0.16268698583642557,0.1639885531377855,0.16268698583642557,0.0,260.31346027198407,0.1293686482883245
0.0055055055055055055,0.16542465192850478,0.16673017001461948,0.16542465192850478,0.0,261.1036172229423,0.13155641069113502
0.005605605605605606,0.16815336114177654,0.16946278175233953,0.16815336114177654,0.0,261.88412211260226,0.1337370365470834
0.005705705705705706,0.17087317169085725,0.17218644771999958,0.17087317169085725,0.0,262.6552058284683,0.13591057173520035
